Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Substantial Acquisition of Shares and Takeovers,regulation  3(2),00a9de219d9f2d0400d2c1f2202a26af.docx,"['shares', 'limited', 'acquisition', 'deal', 'bse']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),00269c9803c7139e78bd86b6e18288e5.docx,"['target', 'saldhar', 'obligations', 'company', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),00269c9803c7139e78bd86b6e18288e5.docx,"['saldhar', 'company', 'letter', 'target', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),019c239b1513ccc31ac7eef40dc8b6f4.docx,"['nfspl', 'acquisition', 'promoter', 'shares', 'exemption']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",019c239b1513ccc31ac7eef40dc8b6f4.docx,"['nfspl', 'transaction', 'shareholding', 'pattern', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3),019c239b1513ccc31ac7eef40dc8b6f4.docx,"['nfspl', 'shareholding', 'pattern', 'acquisition', 'promoters']"
Substantial Acquisition of Shares and Takeovers,regulation  4),019c239b1513ccc31ac7eef40dc8b6f4.docx,"['transactions', 'transferor', 'transferee', 'exemption', 'par']"
Substantial Acquisition of Shares and Takeovers,regulation  10),019c239b1513ccc31ac7eef40dc8b6f4.docx,"['transaction', 'exchange', 'continuation', 'offer', 'obligations']"
Substantial Acquisition of Shares and Takeovers,regulation  7(4),05d1cf8fa676fd42470a93189f931da1.docx,"['promoter', 'shareholding', 'company', 'acquirer', 'concert']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),05d1cf8fa676fd42470a93189f931da1.docx,"['offer', 'acquirer', 'acquisition', 'shares', 'paragraph']"
Substantial Acquisition of Shares and Takeovers,regulation  4),05d1cf8fa676fd42470a93189f931da1.docx,"['acquirer', 'control', 'target', 'offer', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  8(8),05d1cf8fa676fd42470a93189f931da1.docx,"['acquirer', 'offer', 'announcement', 'period', 'post']"
Substantial Acquisition of Shares and Takeovers,regulation  2(a),05d1cf8fa676fd42470a93189f931da1.docx,"['person', 'shareholding', 'acquirer', 'shares', 'concert']"
Prohibition of Insider Trading,regulation  2(1),03e95bcf1ab9f0d2c34a8b9052da68a9.docx,"['limited', 'facts', 'stock', 'exchange', 'mysore']"
Prohibition of Insider Trading,"regulation ,2015(""5e81)",0733810337ea1b075a1327939e9451b5.docx,"['loan', 'gtipl', 'sew', 'agreements', 'cin']"
Prohibition of Insider Trading,regulation  2(1),0733810337ea1b075a1327939e9451b5.docx,"['term', 'subscribing', 'price', 'information', 'section']"
Prohibition of Insider Trading,"regulation ,2011)",08137e72ee44f3d2f24e42b2ca270de6.docx,"['exchange', 'guidance', 'board', 'representatives', 'connection']"
Prohibition of Insider Trading,regulation  4(1),08137e72ee44f3d2f24e42b2ca270de6.docx,"['possession', 'transaction', 'price', 'information', 'sevasi']"
Issue of Capital and Disclosure Requirements,"regulation ,2011)",08137e72ee44f3d2f24e42b2ca270de6.docx,"['exchange', 'guidance', 'board', 'representatives', 'connection']"
Issue of Capital and Disclosure Requirements,regulation  167(1),08137e72ee44f3d2f24e42b2ca270de6.docx,"['promoter', 'sevasi', 'day', 'road', 'krishnarpan']"
Issue of Capital and Disclosure Requirements,regulation  168(1),08137e72ee44f3d2f24e42b2ca270de6.docx,"['promoter', 'issuer', 'sevasi', 'group', 'day']"
Issue of Capital and Disclosure Requirements,regulation  2(oo),08137e72ee44f3d2f24e42b2ca270de6.docx,"['issuer', 'promoter', 'control', 'affairs', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  11(3),08137e72ee44f3d2f24e42b2ca270de6.docx,"['shares', 'number', 'trust', 'nimishbhai', 'nupft']"
Substantial Acquisition of Shares and Takeovers,regulation  3),08137e72ee44f3d2f24e42b2ca270de6.docx,"['shares', 'acquisition', 'issue', 'number', 'trust']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),08137e72ee44f3d2f24e42b2ca270de6.docx,"['acquisition', 'sevasi', 'rights', 'voting', 'trusts']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),08137e72ee44f3d2f24e42b2ca270de6.docx,"['acquisition', 'target', 'company', 'shares', 'sevasi']"
Substantial Acquisition of Shares and Takeovers,regulation  4),08137e72ee44f3d2f24e42b2ca270de6.docx,"['shares', 'acquisition', 'issue', 'target', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  11),08137e72ee44f3d2f24e42b2ca270de6.docx,"['board', 'persons', 'grant', 'promoters', 'conditions']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),08137e72ee44f3d2f24e42b2ca270de6.docx,"['sevasi', 'acquisition', 'transaction', 'transactions', 'trusts']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1xa),08137e72ee44f3d2f24e42b2ca270de6.docx,"['transaction', 'acquisition', 'conversion', 'shares', 'warrants']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",08137e72ee44f3d2f24e42b2ca270de6.docx,"['adani', 'letter', 'scheme', 'limited', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  22),08e286843cb8abbc42e293f43a3b053b.docx,"['offer', 'acquisition', 'shares', 'acquirer', 'consideration']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(the"")",08e286843cb8abbc42e293f43a3b053b.docx,"['offer', 'acquisition', 'shares', 'acquirer', 'consideration']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(the""takeoverregulations"")",08e286843cb8abbc42e293f43a3b053b.docx,"['offer', 'acquisition', 'shares', 'acquirer', 'consideration']"
